Date,AssetCode,AssetName,Market,Source,Open,High,Low,Close,Volume,Value
2026-02-04,KQ11,KOSDAQ,KR_INDEX,FinanceDataReader,1139.02,1158.74,1136.73,1149.43,1179457276,
2026-02-04,KRW=X,USD/KRW,FX,yfinance,1447.68994140625,1459.5999755859375,1447.3699951171875,1446.6800537109375,0,
2026-02-04,KS11,KOSPI,KR_INDEX,FinanceDataReader,5260.71,5376.92,5243.11,5371.1,789920328,
2026-02-04,SMH,VanEck Semiconductor ETF,US_ETF,yfinance,394.6700134277344,396.7099914550781,374.239990234375,382.0199890136719,16908500,
2026-02-04,SOXX,iShares Semiconductor ETF,US_ETF,yfinance,342.17999267578125,345.3900146484375,323.3299865722656,330.3800048828125,15231400,
2026-02-04,^GSPC,S&P 500,US_INDEX,yfinance,6924.5,6936.08984375,6838.7998046875,6882.72021484375,7475750000,
2026-02-04,^IXIC,NASDAQ Composite,US_INDEX,yfinance,23217.01953125,23270.0703125,22684.509765625,22904.580078125,10862000000,
2026-02-05,000660,SK Hynix,KR_STOCK,FinanceDataReader,851000.0,877000.0,838000.0,842000.0,5473720,
2026-02-05,005930,Samsung Electronics,KR_STOCK,FinanceDataReader,162000.0,164000.0,158500.0,159300.0,38435228,
2026-02-05,042700,Hanmi Semiconductor,KR_STOCK,FinanceDataReader,197100.0,200500.0,191700.0,193500.0,1211016,
2026-02-05,KQ11,KOSDAQ,KR_INDEX,FinanceDataReader,1137.08,1143.21,1104.63,1108.41,1370412413,
2026-02-05,KRW=X,USD/KRW,FX,yfinance,1459.3800048828125,1468.6400146484375,1457.800048828125,1460.1099853515625,0,
2026-02-05,KS11,KOSPI,KR_INDEX,FinanceDataReader,5251.03,5304.4,5142.2,5163.57,911910087,
2026-02-05,SMH,VanEck Semiconductor ETF,US_ETF,yfinance,379.1400146484375,388.0799865722656,375.55999755859375,381.07000732421875,12007800,
2026-02-05,SOXX,iShares Semiconductor ETF,US_ETF,yfinance,326.5400085449219,335.4700012207031,324.0400085449219,330.8299865722656,10406500,
2026-02-05,^GSPC,S&P 500,US_INDEX,yfinance,6837.39013671875,6857.85009765625,6780.1298828125,6798.39990234375,6989120000,
2026-02-05,^IXIC,NASDAQ Composite,US_INDEX,yfinance,22604.01953125,22841.279296875,22461.140625,22540.58984375,10109230000,
2026-02-06,000660,SK Hynix,KR_STOCK,FinanceDataReader,805000.0,850000.0,791000.0,839000.0,5581574,
2026-02-06,005930,Samsung Electronics,KR_STOCK,FinanceDataReader,154100.0,160300.0,151600.0,158600.0,36358081,
2026-02-06,042700,Hanmi Semiconductor,KR_STOCK,FinanceDataReader,190800.0,199400.0,180400.0,196000.0,1470302,
2026-02-06,KQ11,KOSDAQ,KR_INDEX,FinanceDataReader,1077.08,1096.16,1048.28,1080.77,1476135941,
